Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
PLEKHG4B	PLEKHG4B	Homo sapiens gene	ENSP00000283426	M	357	
KLF9	KLF9	Homo sapiens gene	ENSP00000366330	G2	358	
ANKRD10	ANKRD10	Homo sapiens gene	ENSP00000267339	G1/S	359	
HIST1H2AC	HIST1H2AC	Homo sapiens gene	ENSP00000321389	S	360
CDCA7L	CDCA7L	Homo sapiens gene	ENSP00000383986	G1/S	361	
DNAH11	DNAH11	Homo sapiens gene	ENSP00000330671	G1/S	362	
MGAT2	MGAT2	Homo sapiens gene	ENSP00000307423	G2	363	
HINT3	HINT3	Homo sapiens gene	ENSP00000229633	G2/M	364	
IER5	IER5	Homo sapiens gene	ENSP00000356549	S	365	
MUC1	MUC1	Homo sapiens gene	ENSP00000357380	G2	366	
SEPHS1	SEPHS1	Homo sapiens gene	ENSP00000367893	G1	367	
FAM214A	FAM214A	Homo sapiens gene	ENSP00000261844	G1/S	368	
